cep,rua,bairro,id_cidade,id_bairro,nome_cidade,id_estado,nome_estado,sigla_estado,cidade_counts,latitude,longitude
38440248,Praça José Rodrigues Alves,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446119,Rua José Messias da Silva,Bosque,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445216,Travessa Valdemar Martins Peixoto,Sibipiruna,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442248,Rua Cinqüenta e Um,Sewa,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442054,Rua José Rady,Industrial,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441188,Rua Dez (Res P de Fátima II),Brasília,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443120,Avenida das Madeiras,São Sebastião,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445032,Rua Ilza Alves Aquino,Paraíso,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440090,Rua Major Mocinho,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440230,Rua Jornalista João Lourenço,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446080,Rua Colônia do Asilo,Bosque,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442172,Rua José Mendes Aguiar,Goiás,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444000,"Rua Professora Lourdes Naves, até 79/80",Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444352,Rua Um,Jardim Panorama,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447007,Rua Florianópolis,Milenium,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444332,Rua José Carlos,Santiago,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444232,Rua Luiz de Campos,Miranda,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443088,Travessa Maria Antonieta de Lourdes Galdino,Independência,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440318,Rua Palmas,Santa Helena,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447225,Rua Brejo Alegre,Santa Terezinha,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445255,Rua Domingos Dorázio,Miranda,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446220,Rua Aracaju,Milenium,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440092,Praça Senhor Bom Jesus,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442108,Rua José Inácio,Goiás,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447366,Rua Maria Prata de Oliveira,Milenium,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442068,Rua Dona Cesária,Goiás,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447027,Rua São Luiz,Milenium,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445265,Rua Maria Amáble Chiovato Dorázio,Paraíso,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440100,Rua Olímpio dos Santos,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440260,"Rua Coronel Povoa, até 329/330",Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444392,Rua João Batista de Almeida,Ouro Verde,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442128,Rua Trinta e Dois,Goiás,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441186,Rua Nove (Res P de Fátima II),Brasília,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444405,Rua Y (Lot P Cerrado II),Ouro Verde,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446128,Rua Abrão Calil,Amorim,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444412,Rua Alice Rocha Fernandes,Santiago,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442032,Rua Mário Lieggio,Industrial,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447231,Rua Guaranis,Santa Terezinha,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447045,Rua Silvino Brandão,Jardim Regina,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440199,Rua Spatódia,Santa Helena,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445900,"Prefeitura Municipal de Araguari, Rua Virgílio de Melo Franco, 550",Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441100,Rua Belisário Rodrigues da Cunha,Maria Eugênia,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443036,Rua Tocantins,São João,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443111,Rua Cedros,São Sebastião,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442070,Rua Borba Gato,Goiás,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440207,Avenida Minas Gerais,Santa Helena,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441565,Rua Luiz Scalia,Fátima,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443144,Rua Urias Vieira dos Santos,Vieno,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441201,Rua dos Agricultores,Brasília,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443178,Rua Moisés Antônio Alves,Vieno,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
