cep,rua,bairro,id_cidade,id_bairro,nome_cidade,id_estado,nome_estado,sigla_estado,cidade_counts,latitude,longitude
97547160,Rua Crisântemo,Capão do Angico,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7884900044,-55.792
97546680,Rua Palmira Rocha Regina,Balneário Caverá,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7799399978,-55.792
97546485,Rua F,Nilo Soares Gonçalves,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7857000027,-55.7888890855
97544224,Rua Noema Domingues Pinheiro,Sepé Tiaraju,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7817399986,-55.792
97544210,Rua Equador,Vera Cruz,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7860600061,-55.7884742935
97546135,Rua Maria Avelina Ferreira Rosli,Airton Senna,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.783,-55.7944887327
97542600,"Rua Vasco Alves, até 463/464",Centro,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.783,-55.7902371447
97547180,Rua Espinilho,Capão do Angico,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7884900044,-55.792
97541350,Rua Luiz de Freitas,Centro,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.783,-55.7902371447
97543510,Rua Santa Maria,Cidade Alta,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7800299979,-55.7885779951
97547607,Rua C,Saint Pastous,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.783,-55.7851559891
97543380,Rua Machado de Assis,Progresso,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7851600077,-55.789511262
97543565,Beco João Vieira de Abreu,Cidade Alta,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7800299979,-55.7885779951
97541340,Rua Lellis Ricciardi,Vila Nova,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.783,-55.7925184856
97542590,Rua Tiradentes,Centro,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.783,-55.7902371447
97547230,Rua Guabiju,Capão do Angico,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7884900044,-55.792
97542480,Rua Padre Manoel Landel de Moura,Restinga,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7842600007,-55.7905482405
97546070,Rua Auta Ferreira de Souza,Ibirapuitã,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7884900045,-55.785674475
97546673,Rua K Um,Balneário Caverá,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7799399978,-55.792
97545160,Rua Coronel Jim,Militar,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7796699913,-55.7958368007
97544460,Rua Senador Nilton Campos,Vera Cruz,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7860600061,-55.7884742935
97547400,Rua Tiaraju,Ibirapuitã,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7884900045,-55.785674475
97544413,Rua Orimando Durgante,Liberdade,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7815599982,-55.792
97546040,Rua Aloísio dos Santos Morais,Promorar,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.783,-55.7967700745
97542180,Rua David Canabarro,Centro,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.783,-55.7902371447
97541080,Rua Celestino Prunes,Vila Nova,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.783,-55.7925184856
97543560,Rua Sepé Tiaraju,Cidade Alta,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7800299979,-55.7885779951
97546550,Avenida Tiaraju,Ibirapuitã,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7884900045,-55.785674475
97544250,Rua Honorato Rezende,Vera Cruz,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7860600061,-55.7884742935
97546630,Rua Zulmira Ferreira da Costa,Balneário Caverá,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7799399978,-55.792
97542390,Rua Manoel Bica de Freitas,Restinga,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7842600007,-55.7905482405
97547574,Rua Euclides Alves Jacques,Nossa Senhora da Conceição Aparecida,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7772399963,-55.792
97546369,Rua Policarpo Rodrigues,Nova Brasília,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7783199956,-55.792
97544360,Rua Nossa Senhora da Natividade,Cidade Alta,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7800299979,-55.7885779951
97543053,Rua Timóteo Bomback,Progresso,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7851600077,-55.789511262
97545350,Rua José de Abreu,Coxilha,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7869600091,-55.792
97545827,Rua Poeta Mário Quintana,Renascer,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7810199959,-55.7897186603
97545690,Rua Salustiano Ferreira da Costa,Coxilha,187,23,Alegrete,23,Rio Grande do Sul,RS,703,-29.7869600091,-55.792
